domain,cohort,main_company_addition,market_scope,storefront_url,domain_created,domain_age_days,domain_age_source,rank_observations,latest_rank,latest_rank_date,rank_freshness_days,rank_source,traffic_basis_visits_model,current_monthly_visits_model,trailing30_visits_model,traffic_confidence,external_panel_minimum,external_panel_maximum,external_public_panels,cvr_low_assumption,cvr_base_assumption,cvr_high_assumption,aov_low_assumption,aov_base_assumption,aov_high_assumption,orders_base_model,gmv_low_model,gmv_base_model,gmv_high_model,commercial_caveat,catalog_coverage,catalog_refresh_mode,catalog_captured_at,catalog_confidence,catalog_extraction_methods,product_count,variant_offer_count,priced_offer_count,price_min,price_median,price_max,currency,reta_product_count,reta_variant_offer_count,visible_stock_records,visible_in_stock_rate,exact_quantity_records,catalog_caveat,ui_overall,ui_visual_polish,ui_mobile_usability,ui_product_clarity,ui_trust_presentation,ui_conversion_ux,ui_performance,ui_access_status,ui_confidence,ui_findings,ui_strongest_lesson,ui_biggest_failure,ui_scored_url,model_boundary
modernaminos.com,main-company-gap,true,active-us-facing,https://modernaminos.com/,2022-11-25,1341,https://rdap.verisign.com/com/v1/domain/MODERNAMINOS.COM,30,512786,2026-07-27,1,https://rank.to/api/?d=modernaminos.com&n=30,102292,90951,102292,low-medium,,,,1%,2%,3%,100,175,250,2046,102292,358022,767190,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",complete_public_woo_store_api,live,2026-07-28T20:43:44.412Z,high,WooCommerce Store API | WooCommerce Store API variation,156,220,220,4.99,59.5,279.2,USD,2,8,220,0.8364,0,"Anonymous public WooCommerce Store API was paginated through all advertised pages. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
umbrellalabs.is,C,false,,https://umbrellalabs.is/,2020-02-12,2356,https://rdap.isnic.is/rdap/domain/umbrellalabs.is,30,504240,,,https://rank.to/api/?d=umbrellalabs.is&n=30,95119,92571,95119,low-medium,,,,1%,2%,3%,135,195,255,1902,128411,370964,727660,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,613,928,915,0.99,64.99,799.99,USD,1,6,928,0.8319,29,"Public Store API reported 613 catalog products; 613 unique parent products were captured. 82 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 13 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",7.6,7.5,8,7.5,6,9,7,storefront-fallback,medium,"The public storefront loaded, but the screenshot did not expose a direct Reta product path. | Testing, review, purity, or shipping trust cues were visible in the captured viewport. | Average screenshot-capture time was 2805ms; the documented performance proxy scored 7/10.",,,https://umbrellalabs.is/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
licensedpeptides.com,B,false,,https://licensedpeptides.com/,2025-05-31,422,https://rdap.org/domain/licensedpeptides.com,30,482638,,,https://rank.to/api/?d=licensedpeptides.com&n=30,94156,96926,94156,low-medium,,,,1%,2%,3%,100,175,250,1883,94156,329546,706170,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",complete_public_woo_api,archived,2026-07-28T01:57:24.110Z,high,WooCommerce Store API | woocommerce_store_api_orphan_variation,91,346,345,0.45,321.95,2618.9,USD,0,0,346,1,2,"Prior rendered UI state: account-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | Exact quantity sum aggregates only explicitly exposed offer-level units; it is not warehouse inventory and does not evidence sales. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.8,9,7.5,4.5,6,2.5,6.2,account-gate,medium,Account creation or sign-in blocked the public product experience; the gate was not crossed. | The account gate fit the 390px viewport without horizontal overflow. | Hidden product markup was not allowed to restore product-clarity or conversion scores.,,,https://licensedpeptides.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
peptira.com,C,false,,https://peptira.com/,2025-05-29,423,https://rdap.verisign.com/com/v1/domain/peptira.com,30,468821,,,https://rank.to/api/?d=peptira.com&n=30,92109,99928,92109,low-medium,,,,1%,2%,3%,105,150,195,1842,96714,276327,538838,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:53:31.092Z,high,woocommerce_store_api_product | woocommerce_store_api_orphan_variation | woocommerce_store_api_variation_collection,91,146,145,2.99,59,500,USD,3,3,146,0.8288,0,"Public Store API reported 91 catalog products; 91 unique parent products were captured. 11 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",5.6,9,7.5,4.5,5.5,2.5,4,account-gate,medium,Account creation or sign-in blocked the public product experience; the gate was not crossed. | The account gate fit the 390px viewport without obvious horizontal overflow. | Hidden product content was excluded from product-clarity and conversion scoring.,,,https://peptira.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
apex-peptides.com,main-company-gap,true,active-us-facing,https://apex-peptides.com/,2025-02-16,527,https://rdap.verisign.com/com/v1/domain/APEX-PEPTIDES.COM,30,521501,2026-07-27,1,https://rank.to/api/?d=apex-peptides.com&n=30,91798,89356,91798,low-medium,,,,1%,2%,3%,100,175,250,1836,91798,321293,688485,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",gated_public_catalog_unknown,unresolved,2026-07-28T19:27:08.058Z,medium,Anonymous public first-party product page,1,1,0,,,,USD,1,1,0,,0,"This is a bounded first-party page snapshot captured July 28, 2026, not a live feed or complete catalog enumeration. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
peptide.partners,B,false,,https://peptide.partners/product/glp-3-retatrutide-12mg-vials/,2025-03-18,496,https://rdap.org/domain/peptide.partners,30,457912,,,https://rank.to/api/?d=peptide.partners&n=30,89173,102429,89173,low-medium,,,,1%,2%,3%,100,175,250,1783,89173,312106,668798,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",complete_public_woo_api,archived,2026-07-28T01:57:24.110Z,high,WooCommerce Store API | woocommerce_store_api_orphan_variation,40,145,133,29,330,3090,USD,2,8,145,0.7034,0,"Prior rendered UI state: age-or-research-gate. The catalog feed still responded to an anonymous GET without credentials; no gate was accepted. | No exact public inventory quantity is exposed; quantity sum is blank. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",7.1,10,8,6.5,7,5,5.4,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport without horizontal overflow. | The first-load gate retained clear visual hierarchy and branded presentation.,,,https://peptide.partners/product/glp-3-retatrutide-12mg-vials/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
particlepeptides.com,main-company-gap,true,international-benchmark,https://particlepeptides.com/,2015-06-15,4061,https://rdap.verisign.com/com/v1/domain/PARTICLEPEPTIDES.COM,30,487631,2026-07-27,1,https://rank.to/api/?d=particlepeptides.com&n=30,89022,95884,89022,low-medium,,,,1%,2%,3%,100,175,250,1780,89022,311577,667665,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Thirty-day rank observations were converted to an order-of-magnitude monthly-visit model. This is not analytics, measured traffic, revenue, or profit.",partial_public_first_party_pages,static,2026-07-28T19:27:08.058Z,medium,Anonymous public first-party product page,1,1,1,113.81,113.81,113.81,EUR,1,1,1,1,0,"This is a bounded first-party page snapshot captured July 28, 2026, not a live feed or complete catalog enumeration. No account, gate, cart, or transaction was used. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",,,,,,,,,,,,,,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
ngpeptide.com,B,false,,https://ngpeptide.com/,2025-03-19,495,https://rdap.org/domain/ngpeptide.com,30,481897,,,https://rank.to/api/?d=ngpeptide.com&n=30,86493,97082,86493,low-medium,,,,1%,2%,3%,100,175,250,1730,86493,302726,648698,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS.",gated_or_account_walled_unknown,archived,2026-07-28T01:57:24.110Z,unknown,,0,0,0,,,,,0,0,0,,0,"products.json returned HTTP 202 or non-catalog content | HTTP 202; expected a JSON array | No parseable public product offers found. | Prior UI state: browser-challenge. | No gate was accepted, no account was created, and no inventory was inferred. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",2.5,4,3,2,2,1.5,2.5,browser-challenge,low,"A browser or connection-security interstitial replaced the storefront in both tested viewports. | Product clarity, trust, conversion, and timing could not be reliably evaluated without bypassing the challenge.",,,https://ngpeptide.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
primepeptides.co,C,false,,https://primepeptides.co/,2024-01-31,907,whois://whois.registry.co/primepeptides.co,30,582621,,,https://rank.to/api/?d=primepeptides.co&n=30,81865,79540,81865,low-medium,160460,160460,Semrush | 160460 | June 2026 | https://www.semrush.com/website/primepeptides.co/overview/,1%,2%,3%,105,150,195,1637,85958,245595,478910,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",complete_public_catalog,archived,2026-07-28T01:41:14.037Z,high,woocommerce_store_api_variation_collection | woocommerce_store_api_product,22,28,28,25,75,450,USD,1,3,28,0.9643,0,"Public Store API reported 22 catalog products; 22 unique parent products were captured. No exact warehouse quantities were publicly exposed. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",6.5,8,8,6.5,6.5,5,4,age-or-research-gate,medium,An uncrossed age or research-eligibility gate covered the first-load product experience. | The gate fit the 390px viewport with a readable decision path. | Hidden product content was excluded from product-clarity and conversion scoring.,,,https://primepeptides.co/products/retatrutide/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
profoundaminos.com,C,false,,https://profoundaminos.com/,2024-08-21,704,https://rdap.verisign.com/com/v1/domain/profoundaminos.com,30,626653,,,https://rank.to/api/?d=profoundaminos.com&n=30,81606,73682,81606,low-medium,,,,1%,2%,3%,120,175,230,1632,97927,285621,563081,"Traffic, orders, and gross checkout figures are modeled scenarios—not measured revenue, profit, analytics, or settlement. Modeled, not measured. Rank.to is an order-of-magnitude traffic model; GMV scenarios multiply modeled visits by assumed conversion and AOV, before refunds, chargebacks, taxes, or costs. No Rank.to history does not mean zero traffic.",gated_public_catalog_unknown,archived,2026-07-28T01:41:14.037Z,low,,0,0,0,,,,,0,0,0,,0,"Anonymous GET terminated at a public browser/security gate (HTTP 202); no gate was crossed and catalog/pricing remain unknown. Duplicate public offers were removed. Blank and placeholder zero prices are excluded from price statistics. Exact quantity is retained only when a positive public quantity field is explicitly exposed. Stock is a point-in-time storefront signal, not sales or warehouse inventory.",2.5,4,3,2,2,1.5,2.5,browser-challenge,low,"A browser or connection-security interstitial replaced the storefront in both tested viewports. | Product clarity, trust, conversion, and timing could not be reliably evaluated without bypassing the challenge.",,,https://profoundaminos.com/,"Traffic and GMV are modeled, not measured. Catalog and stock are point-in-time public observations."
