domain,product_title,canonical_url,public_product_id,public_variant_id,public_offer_id,public_sku_id,category,strength_size_options,current_price,compare_at_list_price,currency,stock_status,backorder,min_purchase,max_purchase,exact_public_quantity,is_retatrutide,source_url,extraction_method,captured_at,confidence,caveat
adaptpeptides.com,30 ml Reconstitution Medium,https://adaptpeptides.com/product/30-ml-reconstitution-medium/?attribute_quantity=3+x+Pack,10702,10704,,BAC-GEN-30-3,Research Accessories | Reconstitution Solution,Quantity: 3 x Pack,49.95,49.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,30 ml Reconstitution Medium,https://adaptpeptides.com/product/30-ml-reconstitution-medium/?attribute_quantity=5+x+Pack,10702,10705,,BAC-GEN-30-5,Research Accessories | Reconstitution Solution,Quantity: 5 x Pack,89.95,89.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,3ml Reconstitution Medium,https://adaptpeptides.com/product/3ml-reconstitution-medium/?attribute_quantity=1+Bottle,10711,10712,,BAC-3,Research Accessories | Reconstitution Solution,Quantity: 1 Bottle,7.5,7.5,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,3ml Reconstitution Medium,https://adaptpeptides.com/product/3ml-reconstitution-medium/?attribute_quantity=10+x+Pack,10711,10715,,BAC-3-10,Research Accessories | Reconstitution Solution,Quantity: 10 x Pack,58.95,58.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,3ml Reconstitution Medium,https://adaptpeptides.com/product/3ml-reconstitution-medium/?attribute_quantity=3+x+Pack,10711,10713,,BAC-3-3,Research Accessories | Reconstitution Solution,Quantity: 3 x Pack,19.95,19.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,3ml Reconstitution Medium,https://adaptpeptides.com/product/3ml-reconstitution-medium/?attribute_quantity=5+x+Pack,10711,10714,,BAC-3-5,Research Accessories | Reconstitution Solution,Quantity: 5 x Pack,31.95,31.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,AOD-9604 5 mg,https://adaptpeptides.com/product/aod-9604/?attribute_size=5+mg,8822,8823,,AOD-5,,Size:: 5 mg,55,55,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,BPC-157,https://adaptpeptides.com/product/bpc-157/?attribute_size=10+mg,8795,8800,,BPC-10,,Size:: 10 mg,59.9,59.9,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,BPC-157,https://adaptpeptides.com/product/bpc-157/?attribute_size=5+mg,8795,8796,,BPC-5,,Size:: 5 mg,39.9,39.9,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,BPC-157 & TB-500 Blend,https://adaptpeptides.com/product/bpc-157-tb-500-blend/?attribute_size=10%2F10+mg,8811,8813,,BPC-TB-20,,Size:: 10/10 mg,140,140,USD,in_stock,no,1,90,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,BPC-157 & TB-500 Blend,https://adaptpeptides.com/product/bpc-157-tb-500-blend/?attribute_size=5%2F5+mg,8811,8812,,BPC-TB-10,,Size:: 5/5 mg,75,75,USD,in_stock,no,1,95,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,CJC-1295 (No DAC),https://adaptpeptides.com/product/cjc-1295-no-dac/?attribute_size=5+mg,8816,8817,,CJCND-5,,Size:: 5 mg,45,45,USD,in_stock,no,1,164,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,CJC-1295 & Ipamorelin Blend,https://adaptpeptides.com/product/cjc-1295-ipamorelin-blend/?attribute_size=5%2F5+mg,8834,8835,,CJCND-IPA-10,,Size:: 5/5 mg,75,75,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,GHK-Cu,https://adaptpeptides.com/product/ghk-cu/?attribute_size=50+mg,8825,8826,,GHK-CU-50,,Size:: 50 mg,65,65,USD,in_stock,no,1,100,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,GHK-Cu,https://adaptpeptides.com/product/ghk-cu/,8825,10329,,,,Size:: 50 mg / 100 mg,,,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,GLOW Peptide Blend,https://adaptpeptides.com/product/glow-peptide-blend/,8840,8840,,GLOW-70,,,185,185,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed."
adaptpeptides.com,GLP1-S,https://adaptpeptides.com/product/glp1-s/?attribute_size=10+mg,8771,8774,,GLP1-10,GLP's,Size:: 10 mg,110,110,USD,in_stock,no,1,3,3,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,Category inherited from the public parent product record.
adaptpeptides.com,GLP1-S,https://adaptpeptides.com/product/glp1-s/?attribute_size=2+mg,8771,8772,,GLP1-2,GLP's,Size:: 2 mg,39,39,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,GLP1-S,https://adaptpeptides.com/product/glp1-s/?attribute_size=20+mg,8771,8775,,GLP1-20,GLP's,Size:: 20 mg,205,205,USD,out_of_stock,no,1,1,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,Category inherited from the public parent product record.
adaptpeptides.com,GLP1-S,https://adaptpeptides.com/product/glp1-s/?attribute_size=5+mg,8771,8773,,GLP1-5,GLP's,Size:: 5 mg,60,60,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,GLP2-T,https://adaptpeptides.com/product/glp2-t/?attribute_size=10+mg,8779,8781,,GLP2-10,GLP's,Size:: 10 mg,115.9,115.9,USD,out_of_stock,no,1,1,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,Category inherited from the public parent product record.
adaptpeptides.com,GLP2-T,https://adaptpeptides.com/product/glp2-t/?attribute_size=15+mg,8779,8782,,GLP2-15,GLP's,Size:: 15 mg,149.9,149.9,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,GLP2-T,https://adaptpeptides.com/product/glp2-t/?attribute_size=20+mg,8779,8783,,GLP2-20,GLP's,Size:: 20 mg,175.9,175.9,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,GLP2-T,https://adaptpeptides.com/product/glp2-t/?attribute_size=30+mg,8779,8784,,GLP2-30,GLP's,Size:: 30 mg,225.9,225.9,USD,in_stock,no,1,10,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,GLP2-T,https://adaptpeptides.com/product/glp2-t/?attribute_size=5+mg,8779,8780,,GLP2-5,GLP's,Size:: 5 mg,75,75,USD,in_stock,no,1,2,2,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,Category inherited from the public parent product record.
adaptpeptides.com,GLP2-T,https://adaptpeptides.com/product/glp2-t/?attribute_size=60+mg,8779,8785,,GLP2-60,GLP's,Size:: 60 mg,385.9,385.9,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,GLP3-R,https://adaptpeptides.com/?post_type=product&p=8788&attribute_size=10+mg,8788,8790,,RETA-10,,Size:: 10 mg,135,135,USD,in_stock,no,1,137,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:22.714Z,medium,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts."
adaptpeptides.com,GLP3-R,https://adaptpeptides.com/?post_type=product&p=8788&attribute_size=15+mg,8788,8791,,RETA-15,,Size:: 15 mg,180,180,USD,in_stock,no,1,94,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:22.714Z,medium,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts."
adaptpeptides.com,GLP3-R,https://adaptpeptides.com/?post_type=product&p=8788&attribute_size=20+mg,8788,8792,,RETA-20,,Size:: 20 mg,220,220,USD,in_stock,no,1,297,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:22.714Z,medium,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts."
adaptpeptides.com,GLP3-R,https://adaptpeptides.com/?post_type=product&p=8788&attribute_size=5+mg,8788,8789,,RETA-5,,Size:: 5 mg,90,90,USD,in_stock,no,1,327,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,woocommerce_store_api_orphan_variation,2026-07-28T01:57:22.714Z,medium,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record. | This variation is publicly exposed by the fully paginated WooCommerce variation feed, but its parent is absent from the current public parent-product feed. It may be stale or orphaned and is excluded from product counts."
adaptpeptides.com,Hospira Reconstitution Kit,https://adaptpeptides.com/product/hospira-reconstitution-kit/?attribute_syringe-size=.5cc+30Gx+5%2F16,10633,10648,,KIT-ULT-30-05,Reconstitution Kits,Syringe Size: .5cc 30Gx 5/16,45.95,49.95,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,Hospira Reconstitution Kit,https://adaptpeptides.com/product/hospira-reconstitution-kit/?attribute_syringe-size=1cc+31Gx+5%2F16,10633,10649,,KIT-ULT-30-10,Reconstitution Kits,Syringe Size: 1cc 31Gx 5/16,45.95,49.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,Hospira Reconstitution Mix 30ml x 3 Pack,https://adaptpeptides.com/product/hospira-bacteriostatic-water-30ml-x-3-pack/,10631,10631,,BAC-30-3-Pack,Reconstitution Solution,,73.95,73.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed."
adaptpeptides.com,Hospira Reconstitution Mix 30ml x 5 Pack,https://adaptpeptides.com/product/hospira-bacteriostatic-water-30ml-x-5-pack/,10632,10632,,BAC-30-5-Pack,Reconstitution Solution,,119.9,119.9,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed."
adaptpeptides.com,Hygiene Reconstitution Kit (3 x 3ml),https://adaptpeptides.com/product/hygiene-reconstitution-kit-3-x-3ml/?attribute_syringe-size=.5cc+30Gx+5%2F16,10635,10652,,KIT-HYG-3×3-05,Reconstitution Kits,Syringe Size: .5cc 30Gx 5/16,24.95,28.95,USD,out_of_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Category inherited from the public parent product record."
adaptpeptides.com,Hygiene Reconstitution Kit (3 x 3ml),https://adaptpeptides.com/product/hygiene-reconstitution-kit-3-x-3ml/?attribute_syringe-size=1cc+31Gx+5%2F16,10635,10653,,KIT-HYG-3×3-10,Reconstitution Kits,Syringe Size: 1cc 31Gx 5/16,24.95,28.95,USD,in_stock,no,1,,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"WooCommerce exposes 9999 as the purchase maximum; treat it as a storefront sentinel, not physical inventory. | Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,Ipamorelin,https://adaptpeptides.com/product/ipamorelin/?attribute_size=5+mg,8819,8820,,IPM-5,,Size:: 5 mg,40,40,USD,in_stock,no,1,107,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,NAD+,https://adaptpeptides.com/product/nad/?attribute_size=1000+mg,8762,8764,,NAD-1000,,Size:: 1000 mg,200,200,USD,in_stock,no,1,9,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,NAD+,https://adaptpeptides.com/product/nad/?attribute_size=500+mg,8762,8763,,NAD-500,,Size:: 500 mg,125,125,USD,in_stock,no,1,10,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,PT-141 (Bremelanotide),https://adaptpeptides.com/product/pt-141-bremelanotide/?attribute_size=10+mg,8828,8829,,PT-141-10,,Size:: 10 mg,45,45,USD,in_stock,no,1,10,,false,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,Retatrutide,https://adaptpeptides.com/product/retatrutide/?attribute_size=10+mg,9167,9169,,RETA-10-1,GLP's,Size:: 10 mg,135,135,USD,in_stock,no,1,6,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,Retatrutide,https://adaptpeptides.com/product/retatrutide/?attribute_size=15+mg,9167,9170,,RETA-15-1,GLP's,Size:: 15 mg,180,180,USD,in_stock,no,1,18,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,Retatrutide,https://adaptpeptides.com/product/retatrutide/?attribute_size=20+mg,9167,9171,,RETA-20-1,GLP's,Size:: 20 mg,220,220,USD,in_stock,no,1,43,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
adaptpeptides.com,Retatrutide,https://adaptpeptides.com/product/retatrutide/?attribute_size=30+mg,9167,10319,,RETA-30-1,GLP's,Size:: 30 mg,299,299,USD,in_stock,no,1,16,,true,https://adaptpeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1&type=variation,WooCommerce Store API,2026-07-28T01:57:22.714Z,high,"Stock is public as available, but no exact quantity is exposed. | Category inherited from the public parent product record."
