domain,wave,domain_created,domain_age_days,domain_age_source,rank_observations,latest_rank,current_monthly_visits_model,trailing30_visits_model,traffic_basis_visits_model,traffic_confidence,aov_low,aov_base,aov_high,cvr_low,cvr_base,cvr_high,orders_base,gmv_low,gmv_base,gmv_high,price_clue,storefront_url,rank_source,caveat
ascensionlabs.bio,A,2026-02-13,164,https://rdap.identitydigital.services/rdap/domain/ascensionlabs.bio,0,,,,,none,,,,1%,2%,3%,,,,,10;11;12;13;14;15;16;17;18;19;20;21;22;40;54.99;69.99;84.99;89.99;100;109.99,https://ascensionlabs.bio/,https://rank.to/api/?d=ascensionlabs.bio&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
ascensionlabsusa.com,A,2025-11-24,245,https://rdap.verisign.com/com/v1/domain/ASCENSIONLABSUSA.COM,0,,,,,none,,,,1%,2%,3%,,,,,,https://ascensionlabsusa.com/,https://rank.to/api/?d=ascensionlabsusa.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | No machine-readable public price clue captured; AOV remains cohort assumption only
ascensionpeptides.com,A,2023-09-26,1035,https://rdap.verisign.com/com/v1/domain/ASCENSIONPEPTIDES.COM,30,1612692,27309,27703,27703,low-medium,100,175,250,1%,2%,3%,554,27703,96961,207772,,https://ascensionpeptides.com/,https://rank.to/api/?d=ascensionpeptides.com&n=30,No machine-readable public price clue captured; AOV remains cohort assumption only
behemothlabz.com,A,2019-09-12,2510,https://rdap.verisign.com/com/v1/domain/BEHEMOTHLABZ.COM,30,1927296,22649,20898,20898,low-medium,100,175,250,1%,2%,3%,418,20898,73143,156735,13.49;26.04;67.46;71.39;78.85;100;134.14;147.58;157.7;208.34;295.17;354.2;1349,https://behemothlabz.com/product/retatrutide-peptide/,https://rank.to/api/?d=behemothlabz.com&n=30,Price clues are raw values parsed from a public page and may include variants/catalog/promotions
biolongevitylabs.com,A,2024-06-13,774,https://rdap.verisign.com/com/v1/domain/BIOLONGEVITYLABS.COM,30,387678,121997,118121,118121,low-medium,100,175,250,1%,2%,3%,2362,118121,413424,885907,249.5;449.5;499;749.5;899;1499,https://biolongevitylabs.com/product-category/peptides/,https://rank.to/api/?d=biolongevitylabs.com&n=30,Price clues are raw values parsed from a public page and may include variants/catalog/promotions
biopepstore.com,A,2024-06-26,761,https://rdap.verisign.com/com/v1/domain/BIOPEPSTORE.COM,0,,,,,none,,,,1%,2%,3%,,,,,,https://biopepstore.com/,https://rank.to/api/?d=biopepstore.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | No machine-readable public price clue captured; AOV remains cohort assumption only
biopepusa.com,A,2026-04-24,94,https://rdap.verisign.com/com/v1/domain/BIOPEPUSA.COM,0,,,,,none,,,,1%,2%,3%,,,,,129;1999,https://biopepusa.com/product/glp-reta/,https://rank.to/api/?d=biopepusa.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
bluumpeptides.com,A,2024-05-15,803,https://rdap.verisign.com/com/v1/domain/BLUUMPEPTIDES.COM,14,2812389,15230,6121,15230,low,100,175,250,1%,2%,3%,305,15230,53305,114225,35;39;45;49;125;159;199;200;279;469,https://bluumpeptides.com/products/retatrutide,https://rank.to/api/?d=bluumpeptides.com&n=30,Only 14/30 ranked days observed; T30 integral treats absent days as unknown/zero and is a lower-bound model | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
bulkglp.com,A,2025-05-14,439,https://rdap.verisign.com/com/v1/domain/BULKGLP.COM,0,,,,,none,,,,1%,2%,3%,,,,,99;120;133;149;153;189;193;228;232;281;346;949;1193;1369;1799,https://bulkglp.com/product/retatrutide-ly3437943-glp1r-glp3/,https://rank.to/api/?d=bulkglp.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
bulkpeptides.com,A,2010-04-22,5940,https://rdap.verisign.com/com/v1/domain/BULKPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,12;14;16;18;22;40;68;120;140;160;180;220;500,https://bulkpeptides.com/registration/?redirect_to=https%3A%2F%2Fbulkpeptides.com%2F,https://rank.to/api/?d=bulkpeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
compoundsciences.com,A,2025-09-02,328,https://rdap.verisign.com/com/v1/domain/COMPOUNDSCIENCES.COM,0,,,,,none,,,,1%,2%,3%,,,,,89.99;129.99,https://compoundsciences.com/product/glp-3-rt-20/,https://rank.to/api/?d=compoundsciences.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
corepeptides.com,A,2019-10-13,2479,https://rdap.verisign.com/com/v1/domain/COREPEPTIDES.COM,30,417483,112868,115885,115885,low-medium,100,175,250,1%,2%,3%,2318,115885,405598,869137,20;29;43;47;52;78;79;81;97;105;140;149;195;200;292,https://www.corepeptides.com/,https://rank.to/api/?d=corepeptides.com&n=30,Price clues are raw values parsed from a public page and may include variants/catalog/promotions
crushresearch.com,A,2025-09-26,304,https://rdap.verisign.com/com/v1/domain/CRUSHRESEARCH.COM,0,,,,,none,,,,1%,2%,3%,,,,,15;26;200,https://crushresearch.shop/product/triple-agonist-30mg,https://rank.to/api/?d=crushresearch.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
epic-pep.com,A,2026-03-21,128,https://rdap.verisign.com/com/v1/domain/EPIC-PEP.COM,0,,,,,none,,,,1%,2%,3%,,,,,10;11;19;19.99;79;99;149;150;169;179;269,https://epic-pep.com/,https://rank.to/api/?d=epic-pep.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
eternaaminos.com,A,2025-09-11,319,https://rdap.verisign.com/com/v1/domain/ETERNAAMINOS.COM,0,,,,,none,,,,1%,2%,3%,,,,,,https://eternaaminos.com/,https://rank.to/api/?d=eternaaminos.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | No machine-readable public price clue captured; AOV remains cohort assumption only
evopeptidesus.com,A,2025-12-13,226,https://rdap.verisign.com/com/v1/domain/EVOPEPTIDESUS.COM,0,,,,,none,,,,1%,2%,3%,,,,,69.95;84.95;89.95;169.95;179.95;199.95;200,https://evopeptidesus.com/product/ep-3rt-15mg-2-pack/,https://rank.to/api/?d=evopeptidesus.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
expertpeptides.com,A,2023-09-21,1040,https://rdap.verisign.com/com/v1/domain/EXPERTPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,109.99;119.99;159.99;199.99,https://expertpeptides.com/retatrutide-12mg/,https://rank.to/api/?d=expertpeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
geneticpeptide.com,A,2024-01-04,935,https://rdap.verisign.com/com/v1/domain/GENETICPEPTIDE.COM,0,,,,,none,,,,1%,2%,3%,,,,,155;299.99;750,https://geneticpeptide.com/product/glp-r-vial-2/,https://rank.to/api/?d=geneticpeptide.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
getprimelabs.com,A,2026-01-06,202,https://rdap.verisign.com/com/v1/domain/GETPRIMELABS.COM,0,,,,,none,,,,1%,2%,3%,,,,,42.58;57.99;78.75;103.02;124.99;129.99;147.54;154.99;167.99;189.99;200;212.9;239.99;274.99;291.65;305.94;309.99;323.97;359.95;397.74,https://licensedpeptides.com/product/lp3-r/,https://rank.to/api/?d=getprimelabs.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
glacieraminos.shop,A,2025-08-03,358,https://rdap.gmoregistry.net/rdap/domain/glacieraminos.shop,30,1412032,31398,31845,31845,low-medium,100,175,250,1%,2%,3%,637,31845,111458,238837,,https://glacieraminos.shop/,https://rank.to/api/?d=glacieraminos.shop&n=30,No machine-readable public price clue captured; AOV remains cohort assumption only
greatestpeptides.com,A,2025-11-23,246,https://rdap.verisign.com/com/v1/domain/GREATESTPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,150;220,https://greatestpeptides.com/product/retatrutide-40-mg/,https://rank.to/api/?d=greatestpeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
heartlandbiolabs.com,A,2026-03-31,118,https://rdap.verisign.com/com/v1/domain/HEARTLANDBIOLABS.COM,0,,,,,none,,,,1%,2%,3%,,,,,89;175;200,https://heartlandbiolabs.com/product/retatrutide/,https://rank.to/api/?d=heartlandbiolabs.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
hydroresearchpeptides.com,A,2023-10-23,1008,https://rdap.verisign.com/com/v1/domain/HYDRORESEARCHPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,45;60;100;110;169;180;200,https://hydroresearchpeptides.com/,https://rank.to/api/?d=hydroresearchpeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
ignitepeptides.com,A,2024-08-05,721,https://rdap.verisign.com/com/v1/domain/IGNITEPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,70;150,https://ignitepeptides.com/product/glp-3-rt-10mg/,https://rank.to/api/?d=ignitepeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
labtrustpeptides.com,A,2025-09-01,329,https://rdap.verisign.com/com/v1/domain/LABTRUSTPEPTIDES.COM,0,,,,,none,,,,1%,2%,3%,,,,,29;33.99;39.99;42.49;49.99;50.99;59.99;72.24;84.99;93.49;99.99;109.99;127.49;149.99;179.99,https://labtrustpeptides.com/product/retatrutide/,https://rank.to/api/?d=labtrustpeptides.com&n=30,Rank.to returned no rank history; traffic and revenue not modeled | Price clues are raw values parsed from a public page and may include variants/catalog/promotions
licensedpeptides.com,B,2025-05-31,422,https://rdap.org/domain/licensedpeptides.com,30,482638,96926,94156,94156,low-medium,100,175,250,1%,2%,3%,1883,94156,329546,706170,unknown,https://licensedpeptides.com/,https://rank.to/api/?d=licensedpeptides.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
lifelinkresearch.com,B,2023-10-12,1019,https://rdap.org/domain/lifelinkresearch.com,0,,,,,none,,,,1%,2%,3%,,,,,200,https://lifelinkresearch.com/product/retatrutide-glp-3-20mg/,https://rank.to/api/?d=lifelinkresearch.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
limitlesslifenootropics.com,B,2015-06-09,4066,https://rdap.org/domain/limitlesslifenootropics.com,30,444693,105628,116388,116388,low-medium,100,175,250,1%,2%,3%,2328,116388,407358,872910,unknown,https://limitlesslifenootropics.com/,https://rank.to/api/?d=limitlesslifenootropics.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
longevitypeptides.us,B,2025-03-12,502,https://rdap.org/domain/longevitypeptides.us,24,2227046,19459,12525,19459,low,100,175,250,1%,2%,3%,389,19459,68106,145942,unknown,https://longevitypeptides.us/,https://rank.to/api/?d=longevitypeptides.us&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
lotilabs.com,B,2019-06-25,2589,https://rdap.org/domain/lotilabs.com,30,861818,52730,50299,50299,low-medium,100,175,250,1%,2%,3%,1006,50299,176046,377242,389.99,https://lotilabs.com/product/retatrutide-30mg/,https://rank.to/api/?d=lotilabs.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
luxaralabs.com,B,2025-10-01,299,https://rdap.org/domain/luxaralabs.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://luxaralabs.com/product/retatrutide/,https://rank.to/api/?d=luxaralabs.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
lvluphealth.com,B,2020-09-17,2139,https://rdap.org/domain/lvluphealth.com,30,2071197,21000,15478,15478,low-medium,100,175,250,1%,2%,3%,310,15478,54173,116085,unknown,https://lvluphealth.com/,https://rank.to/api/?d=lvluphealth.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
lyvpeptides.com,B,2025-07-07,385,https://rdap.org/domain/lyvpeptides.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://www.lyvpeptides.com/product/glp-3-retatrutide-12mg/,https://rank.to/api/?d=lyvpeptides.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
matteprotocol.com,B,2026-05-06,82,https://rdap.org/domain/matteprotocol.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://matteprotocol.com/,https://rank.to/api/?d=matteprotocol.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
milehighcompounds.is,B,2025-07-09,383,https://rdap.org/domain/milehighcompounds.is,30,721312,63564,64121,64121,low-medium,100,175,250,1%,2%,3%,1282,64121,224424,480907,unknown,https://milehighcompounds.is/product/mhc-3-rt/?attribute_vial-size=50mg,https://rank.to/api/?d=milehighcompounds.is&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
myoasislabs.com,B,2024-11-25,609,https://rdap.org/domain/myoasislabs.com,30,1171917,38186,37773,37773,low-medium,100,175,250,1%,2%,3%,755,37773,132206,283298,47-358,https://myoasislabs.com/product/glp3r/,https://rank.to/api/?d=myoasislabs.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
mytidelab.com,B,2026-02-22,155,https://rdap.org/domain/mytidelab.com,0,,,,,none,,,,1%,2%,3%,,,,,99.99,https://mytidelab.com/products/retatrutide,https://rank.to/api/?d=mytidelab.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
neb.co,B,2010-07-20,5851,whois://neb.co,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://newbiorx.com/product/retatrutide-multidose-usp-pen-15mg/,https://rank.to/api/?d=neb.co&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
nextechlaboratories.com,B,2024-08-16,710,https://rdap.org/domain/nextechlaboratories.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://nextechlaboratories.com/,https://rank.to/api/?d=nextechlaboratories.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
ngpeptide.com,B,2025-03-19,495,https://rdap.org/domain/ngpeptide.com,30,481897,97082,86493,86493,low-medium,100,175,250,1%,2%,3%,1730,86493,302726,648698,unknown,https://ngpeptide.com/,https://rank.to/api/?d=ngpeptide.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
northwestpeptides.com,B,2025-12-04,235,https://rdap.org/domain/northwestpeptides.com,0,,,,,none,,,,1%,2%,3%,,,,,109.99-279.99,https://northwestpeptides.com/product/glp-3/,https://rank.to/api/?d=northwestpeptides.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
nosbarbersupply.com,B,2020-11-24,2071,https://rdap.org/domain/nosbarbersupply.com,0,,,,,none,,,,1%,2%,3%,,,,,199.99-304.99,https://nosbarbersupply.com/products/holas-retatrutide-peptide,https://rank.to/api/?d=nosbarbersupply.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
nupeps.com,B,2025-12-19,220,https://rdap.org/domain/nupeps.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://nupeps.com/product/r10mg/,https://rank.to/api/?d=nupeps.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
nurevpeptides.com,B,2025-12-03,236,https://rdap.org/domain/nurevpeptides.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://nurevpeptides.com/product/glp-3-rt-30mg-retatrutride/,https://rank.to/api/?d=nurevpeptides.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
nusciencepeptides.com,B,2023-05-12,1172,https://rdap.org/domain/nusciencepeptides.com,10,4176900,10054,4090,10054,low,100,175,250,1%,2%,3%,201,10054,35189,75405,unknown,https://nusciencepeptides.com/,https://rank.to/api/?d=nusciencepeptides.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
nxtstate.co,B,2025-11-29,240,whois://nxtstate.co,0,,,,,none,,,,1%,2%,3%,,,,,79.99,https://nxtstate.co/product/retatrutide/,https://rank.to/api/?d=nxtstate.co&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
olympicpeptide.com,B,2024-09-20,675,https://rdap.org/domain/olympicpeptide.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://olympicpeptide.com/,https://rank.to/api/?d=olympicpeptide.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
onyxbiolabs.com,B,2025-08-23,338,https://rdap.org/domain/onyxbiolabs.com,28,1802670,24296,15541,15541,low-medium,100,175,250,1%,2%,3%,311,15541,54394,116557,54.99-249.99,https://onyxbiolabs.com/product/retatrutide-peptide/,https://rank.to/api/?d=onyxbiolabs.com&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
onyxresearch.shop,B,2025-07-08,384,https://rdap.org/domain/onyxresearch.shop,30,721863,63513,61893,61893,low-medium,100,175,250,1%,2%,3%,1238,61893,216626,464198,78.75-232.50,https://onyxresearch.shop/product/glp-3-rt/,https://rank.to/api/?d=onyxresearch.shop&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
optides.com,B,2024-05-24,794,https://rdap.org/domain/optides.com,0,,,,,none,,,,1%,2%,3%,,,,,82.99-340,https://optides.com/shop/retatrutide,https://rank.to/api/?d=optides.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
orbitrexpeptidex.com,B,2026-05-27,61,https://rdap.org/domain/orbitrexpeptidex.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://orbitrexpeptidex.com/product/buy-retatrutide-10mg-peptide-online-usa/,https://rank.to/api/?d=orbitrexpeptidex.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
orionpeptide.com,B,2026-01-13,195,https://rdap.org/domain/orionpeptide.com,0,,,,,none,,,,1%,2%,3%,,,,,80,https://orionpeptide.com/product/retatrutide-10mg/,https://rank.to/api/?d=orionpeptide.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
pacificresearchpeptides.com,B,2026-04-15,103,https://rdap.org/domain/pacificresearchpeptides.com,0,,,,,none,,,,1%,2%,3%,,,,,129,https://pacificresearchpeptides.com/product/retatrutide/,https://rank.to/api/?d=pacificresearchpeptides.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
pantheonpeptides.com,B,2023-01-02,1302,https://rdap.org/domain/pantheonpeptides.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://pantheonpeptides.com/ca/peptides/retatrutide,https://rank.to/api/?d=pantheonpeptides.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
paradigmpeptides.is,B,2025-02-26,516,https://rdap.org/domain/paradigmpeptides.is,0,,,,,none,,,,1%,2%,3%,,,,,unknown,https://paradigmpeptides.is/,https://rank.to/api/?d=paradigmpeptides.is&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
peptalabs.com,B,2026-02-07,170,https://rdap.org/domain/peptalabs.com,0,,,,,none,,,,1%,2%,3%,,,,,138.59,https://peptalabs.com/peptides/retatrutide-20mg,https://rank.to/api/?d=peptalabs.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
peptara.org,B,2026-06-20,37,https://rdap.org/domain/peptara.org,0,,,,,none,,,,1%,2%,3%,,,,,55,https://peptara.org/product/retatrutide,https://rank.to/api/?d=peptara.org&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
peptide.express,B,2026-01-25,183,https://rdap.org/domain/peptide.express,0,,,,,none,,,,1%,2%,3%,,,,,50-200,https://peptide.express/buy-retatrutide,https://rank.to/api/?d=peptide.express&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
peptide.partners,B,2025-03-18,496,https://rdap.org/domain/peptide.partners,30,457912,102429,89173,89173,low-medium,100,175,250,1%,2%,3%,1783,89173,312106,668798,124-1000,https://peptide.partners/product/glp-3-retatrutide-12mg-vials/,https://rank.to/api/?d=peptide.partners&n=30,"Traffic is Rank.to power-law modeling, not measured analytics. Trailing-30 integrates only observed daily rank points and treats missing days as zero. GMV scenarios are gross checkout hypotheses before refunds, chargebacks, tax, discounts, processor losses, or COGS."
peptidedeck.com,B,2025-12-01,238,https://rdap.org/domain/peptidedeck.com,0,,,,,none,,,,1%,2%,3%,,,,,unknown; scored URL is a calculator/resource,https://www.peptidedeck.com/peptide-calculator/retatrutide-dosage,https://rank.to/api/?d=peptidedeck.com&n=30,"Rank.to returned no rank history, so traffic, orders, and GMV are intentionally not estimated."
