domain,platform,status,product_count,variant_row_count,priced_rows,min_price,max_price,currency,stock_in_stock,out_of_stock,backorder,exact_quantity_rows,source_urls,extraction_methods,extracted_at_utc,confidence,caveat
riptidewellness.com,WooCommerce,complete,52,64,64,0,2594.02,USD,46,18,0,60,https://riptidewellness.com/wp-json/wc/store/v1/products?per_page=100&type=variation | https://riptidewellness.com/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation | woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 52 catalog products; 52 unique parent products were captured. 1 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 2 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
premierbiolabs.com,WooCommerce,complete,178,184,184,-1,1197.99,USD,177,7,0,10,https://premierbiolabs.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://premierbiolabs.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 178 catalog products; 178 unique parent products were captured. 4 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 60 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
sunday-usa.com,WooCommerce,complete,25,40,40,20,400,USD,32,2,6,0,https://sunday-usa.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://sunday-usa.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_orphan_variation | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 25 catalog products; 25 unique parent products were captured. No exact warehouse quantities were publicly exposed. 4 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned.
tidetopia.com,Shopify,complete,26,26,26,40,150,USD,26,0,0,0,https://tidetopia.com/products.json?limit=250&page=1,shopify_public_products_json,2026-07-28T01:41:14.037Z,high,26 products captured by exhausting public products.json pagination.
sunrisebioresearch.com,WooCommerce,complete,30,33,33,23.72,1000,USD,27,6,0,30,https://sunrisebioresearch.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://sunrisebioresearch.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 30 catalog products; 30 unique parent products were captured. 3 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned.
true-peptides.com,Next.js custom,complete,23,36,36,35,210,USD,8,0,35,36,https://true-peptides.com/research-peptides,next_rsc_public_catalog_variant,2026-07-28T01:47:22.282209Z,high,23 products and 36 variants parsed from the public complete catalog payload; exact quantities were captured only from explicit inventory_quantity fields.
swisschems.is,WooCommerce,complete,145,237,237,0,2661.86,USD,193,44,0,200,https://swisschems.is/wp-json/wc/store/v1/products?per_page=100&page=1 | https://swisschems.is/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 145 catalog products; 145 unique parent products were captured. The source also exposes two distinct Customs Invoice variant IDs with the same option/SKU but different prices; both are retained. 15 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 17 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
thepeplabs.com,Custom/Supabase,complete,31,57,57,29.99,239.99,USD,36,4,0,57,https://thepeplabs.com/products/,public_inline_catalog_variant,2026-07-28T01:41:14.037Z,high,31 public non-test products and 57 current-or-archived public variants parsed from window.__PEPLABS_CATALOG__. Archived variants are retained and labeled.
primepeptides.co,WooCommerce,complete,22,28,28,25,450,USD,27,1,0,0,https://primepeptides.co/wp-json/wc/store/v1/products?per_page=100&type=variation | https://primepeptides.co/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 22 catalog products; 22 unique parent products were captured. No exact warehouse quantities were publicly exposed.
simplepeptide.com,WooCommerce,complete,138,163,163,0,1695,USD,151,12,0,0,https://simplepeptide.com/wp-json/wc/store/v1/products?per_page=100&type=variation | https://simplepeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 138 catalog products; 138 unique parent products were captured. No exact warehouse quantities were publicly exposed. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
realpeptides.co,WooCommerce,complete,75,101,101,0,620,USD,76,25,0,24,https://realpeptides.co/wp-json/wc/store/v1/products?per_page=100&type=variation | https://realpeptides.co/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_product | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 75 catalog products; 75 unique parent products were captured. 1 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
polarispeptides.com,WooCommerce,complete,62,62,62,30,400,USD,52,10,0,0,https://polarispeptides.com/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 62 catalog products; 62 unique parent products were captured. No exact warehouse quantities were publicly exposed.
uspeptidescience.com,Next.js custom,complete,4,7,7,10,115,USD,6,1,0,7,https://www.uspeptidescience.com/shop,next_rsc_public_catalog_variant,2026-07-28T01:41:14.037Z,high,4 products and 7 variants parsed from the public shop payload.
peptira.com,WooCommerce,complete,91,146,146,0,500,USD,121,25,0,25,https://peptira.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://peptira.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_orphan_variation | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 91 catalog products; 91 unique parent products were captured. 11 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 1 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
peptidology.co,WooCommerce,complete,76,108,108,0,279,USD,78,30,0,0,https://peptidology.co/wp-json/wc/store/v1/products?per_page=100&type=variation | https://peptidology.co/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_orphan_variation | woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 76 catalog products; 76 unique parent products were captured. No exact warehouse quantities were publicly exposed. 6 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 4 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
societypeptide.com,WooCommerce,complete,20,25,25,15.99,149.99,USD,25,0,0,0,https://societypeptide.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://societypeptide.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 20 catalog products; 20 unique parent products were captured. No exact warehouse quantities were publicly exposed.
protidehealth.com,WooCommerce,complete,58,81,81,14.99,600,USD,71,10,0,0,https://protidehealth.com/wp-json/wc/store/v1/products?per_page=100&type=variation | https://protidehealth.com/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_product,2026-07-28T01:41:14.037Z,high,Public Store API reported 58 catalog products; 58 unique parent products were captured. No exact warehouse quantities were publicly exposed.
truepeptidelabs.com,WooCommerce,complete,64,100,100,0,579.5,USD,93,7,0,10,https://truepeptidelabs.com/wp-json/wc/store/v1/products?per_page=100&type=variation | https://truepeptidelabs.com/wp-json/wc/store/v1/products?per_page=100&page=1,woocommerce_store_api_variation_collection | woocommerce_store_api_product | woocommerce_store_api_orphan_variation,2026-07-28T01:41:14.037Z,high,Public Store API reported 64 catalog products; 64 unique parent products were captured. 4 additional public variation records were not referenced by a current public parent; they are retained at medium confidence and explicitly marked as possibly stale/orphaned. 2 rows expose nonpositive public price values and are retained as explicit unpriced/sentinel catalog records.
wholesalepeptide.com,WooCommerce (HTML fallback),complete,64,64,64,14.99,389.99,USD,63,0,0,7,https://wholesalepeptide.com/buy-peptides/10ml-reconstitution-solution/ | https://wholesalepeptide.com/buy-peptides/5-amino-1mq-10mg/ | https://wholesalepeptide.com/buy-peptides/5-amino-1mq-capsules/ | https://wholesalepeptide.com/buy-peptides/aod-9604-5mg/ | https://wholesalepeptide.com/buy-peptides/bam15-capsules/ | https://wholesalepeptide.com/buy-peptides/bpc-157-5mg/ | https://wholesalepeptide.com/buy-peptides/bpc-157-5mg-tb-500-5mg-blend/ | https://wholesalepeptide.com/buy-peptides/bpc-157-capsules/ | https://wholesalepeptide.com/buy-peptides/epitalon-10mg/ | https://wholesalepeptide.com/buy-peptides/ghrp-6-5mg/ | https://wholesalepeptide.com/buy-peptides/pt-141-10mg/ | https://wholesalepeptide.com/buy-peptides/semaglutide-5mg/ | https://wholesalepeptide.com/buy-peptides/survodutide-10mg/ | https://wholesalepeptide.com/buy-peptides/tb-500-2mg/ | https://wholesalepeptide.com/buy-peptides/tesamorelin-2mg/ | https://wholesalepeptide.com/buy-peptides/cagrilintide-5mg/ | https://wholesalepeptide.com/buy-peptides/cjc-1295-no-dac-5mg-ipamorelin-5mg-blend/ | https://wholesalepeptide.com/buy-peptides/cjc-1295-w-dac-2mg/ | https://wholesalepeptide.com/buy-peptides/cjc-1295-without-dac-2mg/ | https://wholesalepeptide.com/buy-peptides/dsip-2mg/ | https://wholesalepeptide.com/buy-peptides/epitalon-capsules/ | https://wholesalepeptide.com/buy-peptides/fragment-176-191-2mg/ | https://wholesalepeptide.com/buy-peptides/ghk-cu-50mg/ | https://wholesalepeptide.com/buy-peptides/ghk-cu-capsules/ | https://wholesalepeptide.com/buy-peptides/ghrp-2-5mg/ | https://wholesalepeptide.com/buy-peptides/glow-blend-70mg-ghk-cu-50mg-bpc-157-10mg-tb-500-10mg/ | https://wholesalepeptide.com/buy-peptides/buy-glutathione-600mg/ | https://wholesalepeptide.com/buy-peptides/gnrh-triptorelin-100mcg/ | https://wholesalepeptide.com/buy-peptides/gw0742-capsules/ | https://wholesalepeptide.com/buy-peptides/gw501516-capsules/ | https://wholesalepeptide.com/buy-peptides/hexarelin-2mg/ | https://wholesalepeptide.com/buy-peptides/ipamorelin-2mg/ | https://wholesalepeptide.com/buy-peptides/kisspeptin-10-5mg/ | https://wholesalepeptide.com/buy-peptides/klow-blend-80mg-ghk-cu-50mg-bpc-157-10mg-tb-500-10mg-kpv-10mg/ | https://wholesalepeptide.com/buy-peptides/kpv-5mg/ | https://wholesalepeptide.com/buy-peptides/kpv-capsules/ | https://wholesalepeptide.com/buy-peptides/lgd-4033-capsules/ | https://wholesalepeptide.com/buy-peptides/ll-37-5mg/ | https://wholesalepeptide.com/buy-peptides/mazdutide-10mg/ | https://wholesalepeptide.com/buy-peptides/melanotan-2-10mg/ | https://wholesalepeptide.com/buy-peptides/mgf-2mg/ | https://wholesalepeptide.com/buy-peptides/mk-2866-capsules/ | https://wholesalepeptide.com/buy-peptides/mk-677-capsules/ | https://wholesalepeptide.com/buy-peptides/mots-c/ | https://wholesalepeptide.com/buy-peptides/oxytocin-2mg/ | https://wholesalepeptide.com/buy-peptides/pinealon-10mg/ | https://wholesalepeptide.com/buy-peptides/rad-140-capsules/ | https://wholesalepeptide.com/buy-peptides/buy-bacteriostatic-water/ | https://wholesalepeptide.com/buy-peptides/nad-500mg/ | https://wholesalepeptide.com/buy-peptides/retatrutide-30mg/ | https://wholesalepeptide.com/buy-peptides/retatrutide-5mg/ | https://wholesalepeptide.com/buy-peptides/selank-10mg/ | https://wholesalepeptide.com/buy-peptides/semax-5mg/ | https://wholesalepeptide.com/buy-peptides/sermorelin-2mg/ | https://wholesalepeptide.com/buy-peptides/slu-pp-332-capsules/ | https://wholesalepeptide.com/buy-peptides/slu-pp-332-capsules-50mg-capsule-30-capsules/ | https://wholesalepeptide.com/buy-peptides/snap-8-10mg/ | https://wholesalepeptide.com/buy-peptides/sr9009-capsules/ | https://wholesalepeptide.com/buy-peptides/tb500-5mg/ | https://wholesalepeptide.com/buy-peptides/tesamorelin-10mg/ | https://wholesalepeptide.com/buy-peptides/thymosin-alpha-1-10mg/ | https://wholesalepeptide.com/buy-peptides/tirzepatide-10mg/ | https://wholesalepeptide.com/buy-peptides/tirzepatide/ | https://wholesalepeptide.com/buy-peptides/igf-1-lr3-1mg/,public_product_html_woocommerce,2026-07-28T01:41:14.037Z,high,64 product URLs were enumerated from the public product sitemap; 64 product pages and 64 product/variant rows were captured. 0 pages failed or lacked a parseable public product payload.
researchchemhq.co,WooCommerce,complete,29,32,32,4.99,299.99,USD,31,1,0,31,https://researchchemhq.co/wp-json/wc/store/v1/products?per_page=100&page=1 | https://researchchemhq.co/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 29 catalog products; 29 unique parent products were captured.
peptidelabsinc.com,Unknown,access_gated,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,Anonymous GET terminated at a public browser/security gate (HTTP 202); no gate was crossed and catalog/pricing remain unknown.
profoundaminos.com,Unknown,access_gated,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,Anonymous GET terminated at a public browser/security gate (HTTP 202); no gate was crossed and catalog/pricing remain unknown.
purepeps.com,Unknown,access_gated,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,Anonymous GET terminated at a public browser/security gate (HTTP 202); no gate was crossed and catalog/pricing remain unknown.
skyepeptides.com,Unknown,access_gated,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,Anonymous GET terminated at a public browser/security gate (HTTP 202); no gate was crossed and catalog/pricing remain unknown.
somachems.com,Unknown,access_gated,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,Anonymous GET terminated at a public browser/security gate (HTTP 200); no gate was crossed and catalog/pricing remain unknown.
vigorpeptides.com,Unknown,access_gated,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,Anonymous GET terminated at a public browser/security gate (HTTP 202); no gate was crossed and catalog/pricing remain unknown.
peptideplugs.com,WooCommerce,complete,65,79,79,10,199,USD,69,10,0,74,https://peptideplugs.com/wp-json/wc/store/v1/products?per_page=100&page=1 | https://peptideplugs.com/wp-json/wc/store/v1/products?per_page=100&type=variation,woocommerce_store_api_product | woocommerce_store_api_variation_collection,2026-07-28T01:41:14.037Z,high,Public Store API reported 65 catalog products; 65 unique parent products were captured.
peptomiq.com,Unknown,transport_failure,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,"Anonymous GET could not reach a parseable public catalog (HTTP 0; TypeError: fetch failed); product, price, and inventory fields remain unknown."
spusa-labs.com,Unknown,transport_failure,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,"Anonymous GET could not reach a parseable public catalog (HTTP 0; TypeError: fetch failed); product, price, and inventory fields remain unknown."
trypureonepeptides.com,Unknown,transport_failure,0,0,0,,,,0,0,0,0,,,2026-07-28T01:41:14.037Z,low,"Anonymous GET could not reach a parseable public catalog (HTTP 0; TimeoutError: The operation was aborted due to timeout); product, price, and inventory fields remain unknown."
